                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    141,                0.42986,                0.37799,                0.91236,                0.80684,                0.71285,                0.79298,                0.66681,                0.65506,                0.87051,                 1.0724,             0.00038413,             0.00038413,             0.00038413
                    142,                0.43803,                0.37986,                0.91008,                0.76545,                 0.7281,                0.77901,                 0.6519,                0.70529,                0.95079,                 1.0893,             0.00038178,             0.00038178,             0.00038178
                    143,                0.41937,                0.37406,                0.90823,                0.80945,                0.70734,                0.78229,                0.66026,                0.72872,                0.92223,                 1.1193,             0.00037942,             0.00037942,             0.00037942
                    144,                0.43832,                 0.3646,                0.91128,                 0.8681,                0.64844,                0.77943,                0.65436,                0.72757,                0.94476,                   1.12,             0.00037706,             0.00037706,             0.00037706
                    145,                 0.4431,                0.37902,                0.91732,                0.79979,                0.73646,                0.81187,                 0.6812,                0.69347,                0.92191,                  1.071,             0.00037471,             0.00037471,             0.00037471
                    146,                0.44311,                0.37567,                0.90484,                0.78742,                0.72346,                0.80831,                0.66994,                0.68867,                0.90108,                 1.0828,             0.00037235,             0.00037235,             0.00037235
                    147,                0.41832,                0.36834,                0.90698,                0.81935,                0.71417,                 0.8025,                0.66418,                0.68249,                 0.9053,                  1.079,             0.00036999,             0.00036999,             0.00036999
                    148,                0.43472,                0.37231,                0.91107,                0.80092,                0.72355,                0.78485,                0.65356,                0.68051,                0.92269,                 1.0763,             0.00036764,             0.00036764,             0.00036764
                    149,                0.41511,                0.35874,                0.90226,                0.80834,                0.70093,                0.79279,                0.66374,                 0.6799,                0.87905,                 1.0792,             0.00036528,             0.00036528,             0.00036528
                    150,                0.43563,                 0.3641,                0.91385,                0.82463,                0.67855,                0.79562,                0.66016,                0.70268,                0.83086,                 1.0929,             0.00036293,             0.00036293,             0.00036293
                    151,                0.43171,                0.37939,                0.91715,                0.82717,                0.73324,                0.82084,                0.68352,                0.68797,                0.78967,                 1.0905,             0.00036057,             0.00036057,             0.00036057
                    152,                0.43323,                0.37431,                0.91946,                0.81229,                0.77406,                0.82645,                0.68569,                0.70494,                0.76403,                 1.0914,             0.00035821,             0.00035821,             0.00035821
